Age,Workclass,Fnlwgt,Education,Education.Num,Marital.Status,Occupation,Relationship,Race,Sex,Capital.Gain,Capital.Loss,Hours.Per.Week,Native.Country,Income
17,N/A,"179,715",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"181,337",10th,6,Never-married,N/A,Own-child,Other,Female,0,0.00,20,United-States,<=50K
17,N/A,"187,539",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,10,United-States,<=50K
17,N/A,"198,797",11th,7,Never-married,N/A,Own-child,White,Male,0,0.00,20,Peru,<=50K
17,N/A,"202,521",11th,7,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"210,547",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"212,125",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,N/A,"213,055",11th,7,Never-married,N/A,Not-in-family,Other,Female,0,0.00,20,United-States,<=50K
17,N/A,"215,743",11th,7,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"216,595",11th,7,Never-married,N/A,Own-child,Black,Female,0,0.00,20,United-States,<=50K
17,N/A,"219,277",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,N/A,"228,373",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,N/A,"237,078",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,35,United-States,<=50K
17,N/A,"241,021",12th,8,Never-married,N/A,Own-child,Other,Female,0,0.00,40,United-States,<=50K
17,N/A,"250,541",11th,7,Never-married,N/A,Own-child,Black,Male,0,0.00,8,United-States,<=50K
17,N/A,"256,173",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,N/A,"258,872",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,5,United-States,<=50K
17,N/A,"262,196",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,8,United-States,<=50K
17,N/A,"275,778",9th,5,Never-married,N/A,Own-child,White,Female,0,0.00,25,Mexico,<=50K
17,N/A,"280,670",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,40,United-States,<=50K
17,N/A,"297,117",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,40,United-States,<=50K
17,N/A,"303,317",11th,7,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"304,873",10th,6,Never-married,N/A,Own-child,White,Female,"34,095",0.00,32,United-States,<=50K
17,N/A,"332,666",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,4,United-States,<=50K
17,N/A,"333,100",10th,6,Never-married,N/A,Own-child,White,Male,"1,055",0.00,30,United-States,<=50K
17,N/A,"34,019",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,N/A,"34,088",12th,8,Never-married,N/A,Own-child,White,Female,0,0.00,25,United-States,<=50K
17,N/A,"341,395",10th,6,Never-married,N/A,Own-child,Black,Male,0,0.00,20,United-States,<=50K
17,N/A,"371,316",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,25,United-States,<=50K
17,N/A,"406,920",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"41,643",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,N/A,"454,614",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,8,United-States,<=50K
17,N/A,"47,407",11th,7,Never-married,N/A,Own-child,White,Male,0,0.00,10,United-States,<=50K
17,N/A,"48,703",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,30,United-States,<=50K
17,N/A,"48,751",11th,7,Never-married,N/A,Own-child,Black,Female,0,0.00,40,United-States,<=50K
17,N/A,"634,226",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,17,United-States,<=50K
17,N/A,"64,785",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,N/A,"659,273",11th,7,Never-married,N/A,Own-child,Black,Female,0,0.00,40,Trinadad&Tobago,<=50K
17,N/A,"67,808",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"80,077",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,N/A,"806,316",11th,7,Never-married,N/A,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,N/A,"86,786",10th,6,Never-married,N/A,Own-child,White,Female,0,0.00,40,United-States,<=50K
17,N/A,"89,870",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,N/A,"94,366",10th,6,Never-married,N/A,Other-relative,White,Male,0,0.00,6,United-States,<=50K
17,Never-worked,"237,272",10th,6,Never-married,N/A,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,Private,"100,828",11th,7,Never-married,Other-service,Not-in-family,White,Male,0,0.00,20,United-States,<=50K
17,Private,"100,828",Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"101,626",9th,5,Never-married,Machine-op-inspct,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"102,726",12th,8,Never-married,Other-service,Own-child,White,Male,0,0.00,16,United-States,<=50K
17,Private,"103,851",11th,7,Never-married,Adm-clerical,Own-child,White,Female,"1,055",0.00,20,United-States,<=50K
17,Private,"104,232",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,10,United-States,<=50K
17,Private,"106,733",11th,7,Never-married,Craft-repair,Own-child,White,Male,594,0.00,40,United-States,<=50K
17,Private,"108,273",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Private,"108,402",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"108,470",11th,7,Never-married,Other-service,Own-child,Black,Male,0,0.00,17,United-States,<=50K
17,Private,"108,909",HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"110,723",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,25,United-States,<=50K
17,Private,"110,798",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"111,332",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"112,291",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,12,United-States,<=50K
17,Private,"112,795",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"113,301",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,12,N/A,<=50K
17,Private,"114,420",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,30,United-States,<=50K
17,Private,"114,798",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"115,551",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"116,626",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,"1,719.00",18,United-States,<=50K
17,Private,"117,477",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,Private,"117,549",10th,6,Never-married,Sales,Other-relative,Black,Female,0,0.00,12,United-States,<=50K
17,Private,"117,798",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"118,792",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,9,United-States,<=50K
17,Private,"120,068",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,17,United-States,<=50K
17,Private,"121,037",12th,8,Never-married,Sales,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"121,287",9th,5,Never-married,Craft-repair,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,Private,"121,425",11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Private,"122,041",11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"123,335",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"126,771",12th,8,Never-married,Prof-specialty,Own-child,White,Male,0,0.00,7,United-States,<=50K
17,Private,"126,779",11th,7,Never-married,Other-service,Own-child,Black,Male,0,0.00,20,United-States,<=50K
17,Private,"126,832",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,Private,"127,366",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,8,United-States,<=50K
17,Private,"128,617",10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,26,United-States,<=50K
17,Private,"130,125",10th,6,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,"1,055",0.00,20,United-States,<=50K
17,Private,"130,795",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"130,806",10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,24,United-States,<=50K
17,Private,"132,636",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"132,636",11th,7,Never-married,Transport-moving,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Private,"132,680",10th,6,Never-married,Other-service,Own-child,White,Female,0,"1,602.00",10,United-States,<=50K
17,Private,"132,755",11th,7,Never-married,Sales,Own-child,White,Male,0,0.00,15,United-States,<=50K
17,Private,"133,449",9th,5,Never-married,Other-service,Own-child,Black,Male,0,0.00,26,United-States,<=50K
17,Private,"134,480",11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0.00,25,United-States,<=50K
17,Private,"136,363",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"137,042",10th,6,Never-married,Prof-specialty,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"138,293",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,15,United-States,<=50K
17,Private,"139,183",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"140,027",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,25,United-States,<=50K
17,Private,"140,117",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Private,"141,590",11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Private,"142,457",11th,7,Never-married,Other-service,Own-child,Black,Male,0,0.00,20,United-States,<=50K
17,Private,"142,912",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,Private,"142,964",11th,7,Never-married,Other-service,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"143,331",10th,6,Never-married,Sales,Own-child,White,Male,0,0.00,15,United-States,<=50K
17,Private,"143,331",11th,7,Never-married,Sales,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"143,791",10th,6,Never-married,Other-service,Own-child,Black,Female,0,0.00,12,United-States,<=50K
17,Private,"143,868",9th,5,Never-married,Other-service,Own-child,Black,Male,0,0.00,40,United-States,<=50K
17,Private,"146,268",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,10,United-States,<=50K
17,Private,"146,329",12th,8,Never-married,Sales,Own-child,White,Female,0,0.00,23,United-States,<=50K
17,Private,"147,069",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Private,"147,339",10th,6,Never-married,Prof-specialty,Own-child,Other,Female,0,0.00,15,United-States,<=50K
17,Private,"148,522",11th,7,Never-married,Other-service,Own-child,White,Male,0,"1,721.00",15,United-States,<=50K
17,Private,"150,106",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"150,262",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"151,141",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,15,United-States,<=50K
17,Private,"151,141",12th,8,Never-married,Sales,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"151,799",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"152,652",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,25,United-States,<=50K
17,Private,"152,696",12th,8,Never-married,Other-service,Own-child,White,Female,0,0.00,30,United-States,<=50K
17,Private,"153,021",12th,8,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"153,035",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"154,398",11th,7,Never-married,Other-service,Own-child,Black,Male,0,0.00,16,Haiti,<=50K
17,Private,"154,908",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,10,United-States,<=50K
17,Private,"156,501",12th,8,Never-married,Other-service,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Private,"156,736",10th,6,Never-married,Sales,Unmarried,White,Female,0,0.00,12,United-States,<=50K
17,Private,"158,704",10th,6,Never-married,Sales,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"159,299",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"159,849",11th,7,Never-married,Protective-serv,Own-child,White,Female,0,0.00,30,United-States,<=50K
17,Private,"160,029",11th,7,Never-married,Other-service,Other-relative,White,Female,0,0.00,22,United-States,<=50K
17,Private,"160,049",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Private,"160,118",12th,8,Never-married,Sales,Not-in-family,White,Female,0,0.00,10,N/A,<=50K
17,Private,"160,758",10th,6,Never-married,Sales,Other-relative,White,Male,0,0.00,30,United-States,<=50K
17,Private,"160,968",11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0.00,16,United-States,<=50K
17,Private,"163,494",10th,6,Never-married,Sales,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,Private,"163,836",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Private,"165,918",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,20,Peru,<=50K
17,Private,"166,242",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"166,290",9th,5,Never-married,Other-service,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"167,658",12th,8,Never-married,Sales,Own-child,White,Female,0,0.00,6,United-States,<=50K
17,Private,"167,878",11th,7,Never-married,Other-service,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"168,203",7th-8th,4,Never-married,Farming-fishing,Other-relative,Other,Male,0,0.00,40,Mexico,<=50K
17,Private,"168,807",7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,0,0.00,45,United-States,<=50K
17,Private,"169,037",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,40,United-States,<=50K
17,Private,"169,155",12th,8,Never-married,Other-service,Own-child,White,Male,0,0.00,35,United-States,<=50K
17,Private,"169,658",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,21,United-States,<=50K
17,Private,"170,455",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,8,United-States,<=50K
17,Private,"171,080",11th,7,Never-married,Other-service,Own-child,White,Male,0,0.00,12,United-States,<=50K
17,Private,"171,080",12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"172,050",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,16,United-States,<=50K
17,Private,"173,807",11th,7,Never-married,Craft-repair,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"174,298",11th,7,Never-married,Other-service,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"175,024",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,"2,176",0.00,18,United-States,<=50K
17,Private,"175,465",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,14,United-States,<=50K
17,Private,"176,017",10th,6,Never-married,Other-service,Other-relative,White,Male,0,0.00,15,United-States,<=50K
17,Private,"176,467",9th,5,Never-married,Transport-moving,Not-in-family,White,Male,0,0.00,20,United-States,<=50K
17,Private,"177,629",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"178,953",12th,8,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"181,580",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Private,"182,158",10th,6,Never-married,Priv-house-serv,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,Private,"183,066",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,25,United-States,<=50K
17,Private,"183,066",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,40,United-States,<=50K
17,Private,"183,110",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,16,United-States,<=50K
17,Private,"184,198",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,13,United-States,<=50K
17,Private,"184,924",9th,5,Never-married,Handlers-cleaners,Own-child,White,Male,0,"1,719.00",15,United-States,<=50K
17,Private,"186,067",10th,6,Never-married,Tech-support,Own-child,White,Male,0,0.00,10,United-States,<=50K
17,Private,"186,677",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,12,United-States,<=50K
17,Private,"186,890",10th,6,Married-civ-spouse,Sales,Own-child,White,Female,0,0.00,30,United-States,<=50K
17,Private,"187,308",10th,6,Never-married,Other-service,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"191,260",11th,7,Never-married,Other-service,Own-child,White,Male,594,0.00,10,United-States,<=50K
17,Private,"191,260",9th,5,Never-married,Other-service,Own-child,White,Male,"1,055",0.00,24,United-States,<=50K
17,Private,"191,910",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,25,United-States,<=50K
17,Private,"193,199",11th,7,Never-married,Sales,Unmarried,White,Female,0,0.00,12,Poland,<=50K
17,Private,"193,748",11th,7,Never-married,Sales,Own-child,White,Male,0,0.00,15,United-States,<=50K
17,Private,"193,769",9th,5,Never-married,Other-service,Unmarried,White,Male,0,0.00,20,United-States,<=50K
17,Private,"193,830",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"194,612",11th,7,Never-married,Other-service,Own-child,White,Male,0,0.00,25,United-States,<=50K
17,Private,"195,262",11th,7,Never-married,Craft-repair,Own-child,White,Male,0,0.00,17,United-States,<=50K
17,Private,"195,505",10th,6,Never-married,Sales,Own-child,White,Male,0,0.00,5,United-States,<=50K
17,Private,"19,752",11th,7,Never-married,Other-service,Own-child,Black,Female,0,0.00,25,United-States,<=50K
17,Private,"197,732",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Private,"197,850",11th,7,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0.00,24,United-States,<=50K
17,Private,"198,124",11th,7,Never-married,Sales,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"198,146",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"198,146",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Private,"198,606",11th,7,Never-married,Handlers-cleaners,Own-child,White,Female,0,0.00,16,United-States,<=50K
17,Private,"198,830",11th,7,Never-married,Adm-clerical,Other-relative,White,Female,0,0.00,10,United-States,<=50K
17,Private,"200,199",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,35,United-States,<=50K
17,Private,"202,344",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,25,United-States,<=50K
17,Private,"202,521",10th,6,Never-married,Other-service,Own-child,White,Male,0,0.00,15,United-States,<=50K
17,Private,"204,018",11th,7,Never-married,Sales,Unmarried,White,Male,0,0.00,15,United-States,<=50K
17,Private,"205,726",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,15,United-States,<=50K
17,Private,"206,010",12th,8,Never-married,Other-service,Own-child,White,Female,0,0.00,8,United-States,<=50K
17,Private,"206,506",10th,6,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0.00,10,El-Salvador,<=50K
17,Private,"206,998",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,10,United-States,<=50K
17,Private,"207,637",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,10,United-States,<=50K
17,Private,"207,791",10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"208,463",HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"209,650",12th,8,Never-married,Other-service,Own-child,White,Male,0,0.00,16,United-States,<=50K
17,Private,"209,949",11th,7,Never-married,Sales,Own-child,White,Female,0,"1,602.00",12,United-States,<=50K
17,Private,"211,870",9th,5,Never-married,Other-service,Not-in-family,White,Male,0,0.00,6,United-States,<=50K
17,Private,"214,787",12th,8,Never-married,Adm-clerical,Own-child,White,Female,0,0.00,25,United-States,<=50K
17,Private,"216,086",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,30,United-States,<=50K
17,Private,"216,137",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,8,United-States,<=50K
17,Private,"217,342",10th,6,Never-married,Sales,Own-child,White,Female,0,0.00,5,United-States,<=50K
17,Private,"218,124",11th,7,Never-married,Sales,Own-child,White,Female,0,0.00,20,United-States,<=50K
17,Private,"218,361",10th,6,Never-married,Other-service,Own-child,White,Female,0,"1,602.00",12,United-States,<=50K
17,Private,"220,384",11th,7,Never-married,Adm-clerical,Own-child,White,Male,0,0.00,15,United-States,<=50K
17,Private,"220,562",9th,5,Never-married,Sales,Other-relative,Other,Female,0,0.00,32,Mexico,<=50K
17,Private,"221,129",9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0.00,40,United-States,<=50K
17,Private,"221,403",12th,8,Never-married,Other-service,Own-child,Black,Male,0,0.00,18,United-States,<=50K
17,Private,"222,618",11th,7,Never-married,Sales,Own-child,Black,Female,0,0.00,30,United-States,<=50K
17,Private,"224,073",11th,7,Never-married,Sales,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"225,106",10th,6,Never-married,Other-service,Own-child,White,Female,0,"1,602.00",18,United-States,<=50K
17,Private,"225,211",9th,5,Never-married,Other-service,Own-child,Black,Male,0,0.00,35,United-States,<=50K
17,Private,"225,507",11th,7,Never-married,Handlers-cleaners,Not-in-family,Black,Female,0,0.00,15,United-States,<=50K
17,Private,"226,717",12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,20,United-States,<=50K
17,Private,"226,980",12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,17,United-States,<=50K
17,Private,"228,253",10th,6,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,10,United-States,<=50K
17,Private,"228,399",11th,7,Never-married,Other-service,Own-child,White,Female,0,0.00,7,United-States,<=50K
17,Private,"230,789",9th,5,Never-married,Sales,Own-child,Black,Male,0,0.00,22,United-States,<=50K
17,Private,"231,438",11th,7,Never-married,Adm-clerical,Own-child,White,Female,0,0.00,12,United-States,<=50K
17,Private,"231,439",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,30,United-States,<=50K
17,Private,"232,713",10th,6,Never-married,Craft-repair,Not-in-family,White,Male,594,0.00,30,United-States,<=50K
17,Private,"232,900",11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0.00,25,United-States,<=50K
17,Private,"234,780",HS-grad,9,Never-married,Farming-fishing,Own-child,Black,Male,0,0.00,40,United-States,<=50K
